description,category
ekarTShoP,Shopping
StockPurchase,Investment
dThRecharge,Bills
PostpaidBillOnline,Bills
streaminG SubscriptIon,Entertainment
SpiCEJeT,Travel
auto fare upi,Travel
EXam RegisTration FEe,Education
ProvisionsShopStore,Groceries
Hotstar,Entertainment
YoutubePRemium,Entertainment
MoResuPermarkeT,Groceries
LiBraryfEes,Education
RaIlwayStatION,Travel
crEdit card Bill,Bills
ElectricIty boARD,Bills
DhabaEXprEss,Food
groCery store PAyment,Groceries
WatchShopPayment,Shopping
Exam REgIstration fee,Education
JioCinemA,Entertainment
FliGhtticKet,Travel
fooD delIVery appPAymEnT,Food
IcECreaMParloURonliNE,Food
milkBoOth,Groceries
furnitureSHOp,Shopping
street food Payment,Food
ElectRoniCs STorEOnLInE,Shopping
FRiendPayment,Transfer
hosPital bilL,Health
WAtchShOp,Shopping
Cabpayment,Travel
kFcPaY,Food
CourseraLtd,Education
SnapdEal,Shopping
BharatPetrol,Travel
DAilYNeeds,Groceries
cHAi shOp,Food
mOney returnedaPp,Transfer
jUiceshOp,Food
waTchSHop,Shopping
HospItaLBillShop,Health
otT plaTform subscription,Entertainment
PErsonalTRansfer,Transfer
ExaMFeesLtd,Education
daily needs,Groceries
GoIbibo,Travel
FirstCrypaymeNt,Shopping
HospitalBillPay,Health
gaMing paymEnt,Entertainment
gasBill,Bills
bUs TIcket booking,Travel
meal orDer onliNe,Food
PostpaidBill,Bills
UtIlITy bill pAyMent,Bills
grocery store paymentStore,Groceries
SentMoneyShop,Transfer
MobileShOp,Shopping
roadSIdeTeA,Food
WatchShop,Shopping
MEsSpayment,Food
airtel,Bills
TollPaymentPayment,Travel
LocalKirana,Groceries
TraintiCket,Travel
insurance premium payment,Investment
reStaurant paYMenT,Food
pathoLOGYLaB,Health
TataPower,Bills
PhaRmacy paYMenT,Health
money returnedCenter,Transfer
money returned,Transfer
mobILE accessorIes,Shopping
FdBookingMart,Investment
fAmily trAnsfer,Transfer
GarmentStoreShop,Shopping
OnLineCOurSe,Education
CloThEs purchase,Shopping
ubeR,Travel
Movie tiCket,Entertainment
Ola,Travel
gRoCery storE payment,Groceries
TailOrPayMentCENter,Shopping
DtHReChARge,Bills
HostelFeesOnline,Transfer
family transfer,Transfer
InsurancePremiumShop,Bills
StARbucks,Food
GoIbIbOCenter,Travel
unAcademyApp,Education
BsnlRechargeMart,Bills
AIrindia,Travel
restAurant bIll,Food
VEgetAbLeVendor,Groceries
study books purchAseCentEr,Education
flight booking,Travel
bike ride PaymEnt,Travel
NPSContribuTion,Investment
fuel station paymentOnline,Travel
TrainTickeT,Travel
wifi payment,Bills
NonVegRestauRant,Food
UberMoToCenter,Travel
MobileRechARGeApp,Bills
library fees,Education
REnt paymeNt laNdlord,Transfer
mObile accessoriEs,Shopping
personal upI transfer,Transfer
ChaiPointMart,Food
AyuRvedaShoP,Health
tiffin centerApp,Food
ToLlPayMeNtPayment,Travel
MsPoorna ArogYa,Health
AYurVedaShop,Health
JioMaRtMart,Groceries
street food payment,Food
BIryaniHoUse,Food
PizzaHut,Food
broAdband WIFI billPaYment,Bills
BiryAniHouse,Food
persOnal upi transFer,Transfer
UnacadEMYAPP,Education
HotstarPayment,Entertainment
mIlk paymeNt,Groceries
cAb bookiNg apP,Travel
BoOkStore,Education
goLd InveSTMENt,Investment
Zee5Pay,Entertainment
HotstAr,Entertainment
SpeNcerRetailCenter,Groceries
cab booking appCenter,Travel
mutual fuND sIp,Investment
bakery shop,Food
IndiGo,Travel
UbErMoto,Travel
SnapdEaL,Shopping
DentalClinicStore,Health
TaTaPoweR,Bills
SwigyInstamartOnline,Groceries
coaching center,Education
CredItCArdBIllMart,Bills
BroadbandBillStore,Bills
MobilE rechargestorE,Bills
PIzzaHUt,Food
clothEs Shop,Shopping
medPlus,Health
ReDBUsSTore,Travel
vegetable purchase,Groceries
HiTechChai,Food
ElEctriciTyBIll,Bills
online course,Education
ElectRonIcsStoRe,Shopping
MedIcaLSToreShop,Health
Jio,Bills
BsnLRecharge,Bills
Jiomart,Groceries
GamEpurchasePay,Entertainment
poStpaid Bill,Bills
GasBIllSHop,Bills
NetmedS,Health
UPITransfer,Transfer
Pizzahut,Food
MilkBooth,Groceries
insuraNcePremium,Bills
ChowmeinStallStore,Food
cab bOOking app,Travel
dOctOr feesceNter,Health
INdiAnOil,Travel
stock purchase,Investment
apollOPharmacy,Health
UbeRmOtO,Travel
CaFECoffeEday,Food
goLd investment,Investment
TAilorPaYmenT,Shopping
COLlEgEFees,Education
postpaid bill,Bills
money RetuRNed,Transfer
hoTelsaravana,Food
Milk delivery,Groceries
autoRickshawLtd,Travel
APOlloPharmacy,Health
eXaM regisTration fee,Education
dIAgNOstIc labAPp,Health
ReCeIvEdMonEy,Transfer
SplitbiLL,Transfer
FoodStallApp,Food
BAnkTRansfer,Transfer
ONlIneCourse,Education
SplitBill,Transfer
IndianOil,Travel
myntra,Shopping
MoVieTicKet,Entertainment
GaS BIll,Bills
TuitionFees,Education
diNneR PayMent,Food
FirstCryPay,Shopping
airtElStore,Bills
milK DeliverY,Groceries
provisions store,Groceries
PpfDEpoSiT,Investment
BroadbaNDBilL,Bills
inSuranCe pREmium,Bills
ColleGeFEes,Education
RenTPaYMeNt,Transfer
AutoRickshawShop,Travel
mobile accEssOries,Shopping
DhabaExpResSSHOp,Food
rd deposit,Investment
sip payment,Investment
fOodStallCentEr,Food
MedicALStore,Health
PharmEasy,Health
CollegeFees,Education
GolDbonD,Investment
movieTicket,Entertainment
gym membershIP,Health
TolLpAymenT,Travel
GarmentStore,Shopping
MUttOnShop,Food
PpfDeposit,Investment
RapidoPay,Travel
cab booking app,Travel
accessories purchase,Shopping
LaNdloRDRent,Transfer
mutual fund sipApp,Investment
EkartStore,Shopping
bus Ticket bookinG,Travel
UpiTransfERsHOP,Transfer
LoCaLKiRaNaPay,Groceries
STeAmPayment,Entertainment
HealthKart,Health
DoctorConsultation,Health
AyurvedaShopPvt,Health
NpsContribution,Investment
VegReStaurAnt,Food
WaterBill,Bills
SpotifyOnline,Entertainment
OlaCenter,Travel
CoLlegeFEEs,Education
BiryaniHouseCenter,Food
LOcalDHAbA,Food
ZeptoAppApp,Groceries
airtEL,Bills
PetrolPumpOnline,Travel
poStpaIdBillSTorE,Bills
ott Platform subscriPTion,Entertainment
toll booth,Travel
CliniCfees,Health
mobile reCharge,Bills
FurnitureSHop,Shopping
yoga class,Health
starbucks,Food
LenSkartMarT,Health
VegEtabLE market,Groceries
Snapdeal,Shopping
Chaipoint,Food
kirAna shop,Groceries
RentPayment,Transfer
Vodafone,Bills
EkArt,Shopping
MobILeRecharge,Bills
DthRecharge,Bills
LenskartOnline,Health
bike ride pAymEnt,Travel
traIn ticKet irCtc,Travel
RDDEposit,Investment
electronics purchase,Shopping
CAntEenFoOd,Food
hospital billApp,Health
eLectrOnIcs stORE,Shopping
accEssOries purcHasE,Shopping
BankTRansFerStore,Transfer
trAin ticket iRctc,Travel
MSPoorna ARogYALtd,Health
AirIndiaPvt,Travel
IceCreamParlourOnline,Food
gaming paymentShop,Entertainment
street food paymentOnline,Food
water bill,Bills
YoutUbePrEmiUm,Entertainment
MakeMYTrIp,Travel
COncErtTicKeT,Entertainment
pharmacy paymENTLtd,Health
OnLIne shOppinG PaymEnt,Shopping
UNiveRsitYFeeSCentEr,Education
rice puRChAse,Groceries
UbErpvt,Travel
ClinIcFeeS,Health
PrOvIsIOnssHOp,Groceries
kirana Shop,Groceries
fOOtweAr shOp,Shopping
HpPetrolPvt,Travel
elEctronics Store,Shopping
footwear shop,Shopping
